District,totalcase,LON,LAT
GAMPAHA,12032,80.014366,7.087310
COLOMBO,22043,79.861244,6.927079
KALUTARA,3916,79.960739,6.585395
MATARA,754,80.53528,5.94851
GALLE,1189,80.220978,6.053519
HAMBANTHOTA,307,81.101074,6.124593
MONARAGALA,235,81.345444,6.890645
RATHNAPURA,1108,80.40916666666,6.68
BADULLA,285, 81.054722222222,	6.993333333
NUWARA ELIYA,685,80.78286,6.97078
KANDY,2220,80.771797,7.873054
AMPARA,113,81.68202,7.29754
BATTICALOA,296,81.6924,7.7102
MATALE,371,80.661666666,7.5133333333
KURUNEGALA,964,80.3683,7.4839
PUTTALAM,615, 79.8283,8.0362
ANURADHAPURA,205,80.41306,8.31223
TRINCOMALEE,346,81.196793,	8.592200
POLONNARUWA,146, 81.002747,7.93965
VAVUNIYA,311,80.498993,8.750943
MANNAR,109,79.8833,8.9667
MULATHIVU,14,80.814248,9.267091
KILINOCHCHI,34,80.3982,9.3961
JAFFNA,182,80.00742,9.66845
