Month,Tourists
2014-01-28,146575
28-02-2014,141878
28-03-2014,133048
28-04-2014,112631
28-05-2014,90046
28-06-2014,103175
28-07-2014,133971
28-08-2014,140319
28-09-2014,105535
28-10-2014,121576
28-11-2014,119727
28-12-2014,178672
28-01-2015,156246
28-02-2015,165541
28-03-2015,157051
28-04-2015,122217
28-05-2015,113529
28-06-2015,115467
28-07-2015,175804
28-08-2015,166610
28-09-2015,143374
28-10-2015,132280
28-11-2015,144147
28-12-2015,206114
28-01-2016,194280
28-02-2016,197967
28-03-2016,192841
28-04-2016,136367
28-05-2016,125044
28-06-2016,118038
28-07-2016,209351
28-08-2016,186288
28-09-2016,148499
28-10-2016,150419
28-11-2016,167217
28-12-2016,224791
28-01-2017,219360
28-02-2017,197517
28-03-2017,188076
28-04-2017,160249
28-05-2017,121891
28-06-2017,123351
28-07-2017,205482
28-08-2017,190928
28-09-2017,145077
28-10-2017,152429
28-11-2017,167511
28-12-2017,244536
28-01-2018,238924
28-02-2018,235618
28-03-2018,233382
28-04-2018,180429
28-05-2018,129466
28-06-2018,146828
28-07-2018,217829
28-08-2018,200359
28-09-2018,149087
28-10-2018,153123
28-11-2018,195582
28-12-2018,253169
28-01-2019,244239
28-02-2019,252033
28-03-2019,244328
28-04-2019,166975
28-05-2019,37802
28-06-2019,63072
28-07-2019,115701
28-08-2019,143587
28-09-2019,108575
28-10-2019,118743
28-11-2019,176984
28-12-2019,241663
28-01-2020,228434
28-02-2020,207507
28-03-2020,71370
28-04-2020,0
28-05-2020,0
28-06-2020,0
28-07-2020,0
28-08-2020,0
28-09-2020,0
28-10-2020,0
28-11-2020,0
28-12-2020,0
